Rides,Bus,Scenarios,Objective Value,Savings,Time,Gap
3,2,10,51.22131831831423,-13.624906460194605,6.953121662139893,0.0
4,2,10,46.02411793922069,-8.165928684012215,38.5005202293396,0.0
5,2,10,55.08550074604694,-15.424478057721828,85.03231644630432,0.0
6,2,10,55.867203569531156,-9.611530975761918,159.89107513427734,0.0
7,2,10,94.73482059445041,-6.137609559401,1322.4311878681183,0.0
9,3,10,94.92583200721359,-13.691455235105769,18236.067647457123,0.5879340663975404
10,3,10,107.55271100533108,-31.203381042164803,19549.308329582214,0.6828880434958677
11,3,10,135.491212454766,-20.687826888748,18575.185050964355,0.7332452355409776
13,4,10,215.11493571024866,-21.309889015956113,19931.244097948074,0.8445818144445952
15,4,10,293.5980123449966,-89.82731898905611,19930.118646144867,0.8845271334601891
3,2,20,53.47881195949616,-10.342750240222404,51.39139008522034,0.0
4,2,20,47.61363629449215,-8.95700845620903,262.99940276145935,0.0
5,2,20,61.127148842250065,-16.457714629750217,400.36868715286255,0.0
6,2,20,60.612391466621816,-14.861622391027984,1600.6777458190918,0.000775447669271879
7,2,20,98.21907810075425,15.959531741082406,9815.325991153717,0.0
9,3,20,101.23239396127391,-5.66131445250131,18660.112970352173,0.5986448570453887
10,3,20,134.47045128562456,8.763891877934531,20395.19658613205,0.7328220624079378
11,3,20,180.90096962491475,-30.16371187835067,18747.328389644623,0.7987969568798745
13,4,20,240.768034383425,-35.535574718773454,21784.685494184494,0.8581742787051907
15,4,20,628.2384337547749,-147.67648009921817,21935.539021492004,0.9469492501992611
