Rides,Bus,Scenarios,Objective Value,Savings,Time,Gap
3,2,10,40.63215621997221,-40.8178437800278,2.000033140182495,0.0
4,2,10,42.189065761391724,-28.280934238608282,8.01575493812561,0.0
5,2,10,43.76254310966734,-45.767456890332674,112.93897843360901,0.0
6,2,10,52.025926989600734,-37.61407301039929,18001.965928554535,0.14850695688145216
7,2,10,75.33244612196103,-433.4275538780393,18001.748737573624,0.47748369390789086
3,2,20,38.54107810998621,-42.90892189001379,5.312519073486328,0.0
4,2,20,38.479999999999855,-481.95000000000033,40.5318660736084,0.0
5,2,20,40.36704374241593,-319.0929562575839,18002.200211524963,0.1370745646993337
6,2,20,50.26081833724167,-261.27918166275833,18005.290585041046,0.2548289910162166
3,2,30,39.14405207332415,-42.30594792667586,4.609312057495117,0.0
4,2,30,37.8633333333957,-299620.5666666667,65.42100286483765,0.0
5,2,30,37.43405168009633,-633.0059483199046,18002.563062906265,0.09515536024200662
